,PCE,Molecule SMILE,SMILES
2587,3.58,CCn1o/c(=c/2\c(=Cc3ccc(cc3)c3ccc4c(c3)C3CCCC3N4c3ccc(cc3)C(F)(F)F)sc(=O)n2CC(=O)O)/sc1=S,CCn1o/c(=c/2\\c(=Cc3ccc(cc3)c3ccc4c(c3)C3CCCC3N4c3ccc(cc3)C(F)(F)F)sc(=O)n2CC(=O)O)/sc1=S
2588,1.4,CCc1cc(CC)c(c(c1)CC)/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1c(CC)cc(cc1CC)CC)/c1ccc(cc1)C(=O)O)/c1c(CC)cc(cc1CC)CC,CCc1cc(CC)c(c(c1)CC)/C/1=C/2\\C=CC(=N2)/C(=c/2\\n3[Zn]n4c1ccc4/C(=C\\1/C=CC(=N1)/C(=c\\3/cc2)/c1c(CC)cc(cc1CC)CC)/c1ccc(cc1)C(=O)O)/c1c(CC)cc(cc1CC)CC
2589,3.1,CCCCCCc1c(c2ccccc2)c(n2c1cccc2)c1ccc(s1)/C=C(/C(=O)O)\C#N,CCCCCCc1c(c2ccccc2)c(n2c1cccc2)c1ccc(s1)/C=C(/C(=O)O)\\C#N
2590,5.0,CCCCCCc1c(c2ccc(cc2)OC)c(n2c1cccc2)c1ccc(s1)/C=C(/C(=O)O)\C#N,CCCCCCc1c(c2ccc(cc2)OC)c(n2c1cccc2)c1ccc(s1)/C=C(/C(=O)O)\\C#N
2591,5.4,CCCCCc1c2cc(OC)ccn2c(c1c1ccccc1)c1ccc(s1)/C=C(/C(=O)O)\C#N,CCCCCc1c2cc(OC)ccn2c(c1c1ccccc1)c1ccc(s1)/C=C(/C(=O)O)\\C#N
2592,8.0,CCCCCCOc1ccc(c(c1)OCCCCCC)c1ccc(cc1)c1c(CC(CCCC)CC)c2n(c1c1ccc(s1)/C=C(/C(=O)O)\C#N)ccc(c2)c1ccc(cc1OCCCCCC)OCCCCCC,CCCCCCOc1ccc(c(c1)OCCCCCC)c1ccc(cc1)c1c(CC(CCCC)CC)c2n(c1c1ccc(s1)/C=C(/C(=O)O)\\C#N)ccc(c2)c1ccc(cc1OCCCCCC)OCCCCCC
2593,1.5,CCCCCCOc1cc(OCCCCCC)ccc1c1ccn2c(c1)c(CC(CCCC)CC)c(c2c1ccc(s1)/C=c/1\s/c(=C/2\SC(=S)N(C2=O)CCCCCC)/n(c1=O)CC(=O)O)c1ccc(cc1)c1ccc(cc1OCCCCCC)OCCCCCC,CCCCCCOc1cc(OCCCCCC)ccc1c1ccn2c(c1)c(CC(CCCC)CC)c(c2c1ccc(s1)/C=c/1\\s/c(=C/2\\SC(=S)N(C2=O)CCCCCC)/n(c1=O)CC(=O)O)c1ccc(cc1)c1ccc(cc1OCCCCCC)OCCCCCC
2594,3.2,CCCCCCOc1ccc(c(c1)OCCCCCC)c1ccc(cc1)c1c(CC(CCCC)CC)c2n(c1/C=c/1\s/c(=C/3\SC(=S)N(C3=O)CCCCCC)/n(c1=O)CC(=O)O)ccc(c2)c1ccc(cc1OCCCCCC)OCCCCCC,CCCCCCOc1ccc(c(c1)OCCCCCC)c1ccc(cc1)c1c(CC(CCCC)CC)c2n(c1/C=c/1\\s/c(=C/3\\SC(=S)N(C3=O)CCCCCC)/n(c1=O)CC(=O)O)ccc(c2)c1ccc(cc1OCCCCCC)OCCCCCC
2595,2.8,N#C/C(=C\c1ccc(s1)/C=C/c1c(c2ccc(cc2)CO)c(c2n1cccc2)C)/C(=O)O,N#C/C(=C\\c1ccc(s1)/C=C/c1c(c2ccc(cc2)CO)c(c2n1cccc2)C)/C(=O)O
2596,0.2,CCCCCCN1C(=S)S/C(=c\2/s/c(=C/c3c(c4ccc(cc4)CO)c(c4n3cccc4)C)/c(=O)n2CC(=O)O)/C1=O,CCCCCCN1C(=S)S/C(=c\\2/s/c(=C/c3c(c4ccc(cc4)CO)c(c4n3cccc4)C)/c(=O)n2CC(=O)O)/C1=O
