model_id,family,impute_method,split,R2_train,MAE_train,R2_test,MAE_test
mlp_most_frequent_split7,mlp,most_frequent,7,0.8709569483906116,0.6239694867393061,0.6060930395293138,1.2335514874216602
mlp_most_frequent_split8,mlp,most_frequent,8,0.8934139125136376,0.5422634240986719,0.5601002466350373,1.167418444247734
mlp_most_frequent_split9,mlp,most_frequent,9,0.884880101200305,0.5736174213713537,0.5789229457679814,1.2192984026336717
mlp_KNN_imputation_split0,mlp,KNN_imputation,0,0.8361701388006759,0.7401344034964242,0.5690245243311522,1.303651603724581
mlp_KNN_imputation_split1,mlp,KNN_imputation,1,0.8950044582685772,0.5283719823605862,0.5553459492408261,1.298031645599194
mlp_KNN_imputation_split2,mlp,KNN_imputation,2,0.8738665765967462,0.5900902772975903,0.5348157858837728,1.3291508322945458
mlp_KNN_imputation_split3,mlp,KNN_imputation,3,0.8964702321530813,0.5238149569534426,0.06335493686899973,1.9292474985389314
mlp_KNN_imputation_split4,mlp,KNN_imputation,4,0.903741396366897,0.5082407048936288,0.5311820165632923,1.2825774378678299
mlp_KNN_imputation_split5,mlp,KNN_imputation,5,0.9127378417967142,0.463664595060447,0.1011481754014224,1.8934533242708524
mlp_KNN_imputation_split6,mlp,KNN_imputation,6,0.9182824357325526,0.42968326815105856,0.5564199078199253,1.2769663934640465
mlp_KNN_imputation_split7,mlp,KNN_imputation,7,0.8855490683351762,0.5637558507093086,0.5761502483247778,1.2751282464401688
mlp_KNN_imputation_split8,mlp,KNN_imputation,8,0.8636623549144713,0.660084504907081,0.5056324027697852,1.2188481758032852
mlp_KNN_imputation_split9,mlp,KNN_imputation,9,0.9044309954390866,0.49084913321007795,0.5703879982801787,1.2412113800474531
hgb_mean_split0,hgb,mean,0,0.9080520842946889,0.5270296554761137,0.6198127923215833,1.2241838988477995
hgb_mean_split1,hgb,mean,1,0.9244621572652986,0.4659723848523414,0.5842050937052514,1.246600478682525
hgb_mean_split2,hgb,mean,2,0.919337265649748,0.47240556958695173,0.5414743333226958,1.264610090569297
hgb_mean_split3,hgb,mean,3,0.9275435158812411,0.44492590419763767,0.09334190558288702,1.8891547083063793
hgb_mean_split4,hgb,mean,4,0.9194647971096278,0.49732628815500146,0.5308410749913148,1.252933212452621
hgb_mean_split5,hgb,mean,5,0.9317285614695187,0.42483455831619416,0.1882908033666011,1.7890900608586535
hgb_mean_split6,hgb,mean,6,0.8936625059740291,0.5920078768795244,0.5717014109062335,1.2607389362052819
hgb_mean_split7,hgb,mean,7,0.9086987403329805,0.5086358397455248,0.6152800225670383,1.1905308586438987
hgb_mean_split8,hgb,mean,8,0.9145587536273867,0.5147149719351134,0.5358134776066263,1.158978514178966
hgb_mean_split9,hgb,mean,9,0.9079502583048826,0.539947122164401,0.6169251693988165,1.1638999518091497
hgb_most_frequent_split0,hgb,most_frequent,0,0.8977420712420074,0.5701417555207847,0.6023588716002811,1.2570608569187163
hgb_most_frequent_split1,hgb,most_frequent,1,0.9214904551527334,0.4783852114087226,0.6327350612830849,1.1613152418554737
hgb_most_frequent_split2,hgb,most_frequent,2,0.9157189803750704,0.47823182580597257,0.5781666852195579,1.2367363537322689
hgb_most_frequent_split3,hgb,most_frequent,3,0.9075924847339756,0.5294182960160907,0.2862735356134909,1.6735493117165763
hgb_most_frequent_split4,hgb,most_frequent,4,0.9174234031513276,0.5018882075572693,0.5365999516448381,1.2556327067622246
hgb_most_frequent_split5,hgb,most_frequent,5,0.933143562093364,0.41386221656227035,0.15256911332406686,1.838093767923662
hgb_most_frequent_split6,hgb,most_frequent,6,0.8925952285613807,0.5874121864944362,0.5735920395428268,1.2459256060583532
hgb_most_frequent_split7,hgb,most_frequent,7,0.8900681058530437,0.5853002722073788,0.5905375839913245,1.2451286658706595
hgb_most_frequent_split8,hgb,most_frequent,8,0.9006528350083975,0.56508357240019,0.5146404891613204,1.1744034219928154
hgb_most_frequent_split9,hgb,most_frequent,9,0.8957393173198112,0.5800372137928237,0.6075139286599848,1.1611327839701824
hgb_KNN_imputation_split0,hgb,KNN_imputation,0,0.9243465041079241,0.4674762844790207,0.609664329204062,1.2504952817825814
hgb_KNN_imputation_split1,hgb,KNN_imputation,1,0.9287067709349109,0.44549289982691503,0.6030682455296892,1.2214765034548323
hgb_KNN_imputation_split2,hgb,KNN_imputation,2,0.9184467566422685,0.48624185507385603,0.5823975632726069,1.242267767999161
hgb_KNN_imputation_split3,hgb,KNN_imputation,3,0.9229325411041518,0.47224898614971994,0.32207390497169563,1.6518635964086696
hgb_KNN_imputation_split4,hgb,KNN_imputation,4,0.9214328475127332,0.48752735366592986,0.5730498134655079,1.2100990221161176
hgb_KNN_imputation_split5,hgb,KNN_imputation,5,0.93150413342948,0.42804299965359194,0.13486006720407795,1.8457108638734323
hgb_KNN_imputation_split6,hgb,KNN_imputation,6,0.9110400419265097,0.5317218348206771,0.6108526085202023,1.21201378196821
hgb_KNN_imputation_split7,hgb,KNN_imputation,7,0.9188133147959499,0.48525209087675036,0.5960047632385741,1.2217955290210922
hgb_KNN_imputation_split8,hgb,KNN_imputation,8,0.9140751017642854,0.5237877824299909,0.5856393849069863,1.1216950632505118
hgb_KNN_imputation_split9,hgb,KNN_imputation,9,0.8972958508343029,0.5866119034468471,0.6141901066141938,1.1876047178006026
